index,ok_base,category,ok_fdi,teeth,cnt
1,True,Teeth,True,True,True
4,True,Jaw,True,False,False
5,True,"Teeth,Patho",True,True,False
6,True,"HisT,Jaw",True,False,False
7,False,"Teeth,Patho",False,True,False
8,False,"Teeth,HisT,SumRec",False,True,False
10,True,"Teeth,HisT",True,True,False
12,False,Teeth,True,True,True
14,True,Teeth,True,True,True
15,True,"Teeth,Jaw",True,True,False
20,False,"Teeth,Patho",False,True,False
21,False,"Teeth,Patho",False,True,False
22,True,"Teeth,HisT",True,True,False
26,True,"Teeth,Patho",True,True,False
37,False,"Patho,Jaw",False,False,False
45,True,Teeth,True,True,False
49,True,"Teeth,HisT",True,True,False
51,True,Jaw,True,False,False
52,True,"Teeth,HisT",True,True,False
54,True,"Teeth,Patho",True,True,False
55,False,"Teeth,Patho,SumRec",False,True,False
56,False,"Teeth,Jaw",False,True,False
59,True,Teeth,False,True,True
60,False,"Teeth,Patho",False,True,False
63,False,"Teeth,HisT",False,True,False
64,False,"Teeth,Patho",False,True,False
65,True,"Patho,Jaw",True,False,False
68,True,SumRec,True,False,False
71,True,"Teeth,HisT",True,True,False
74,True,Teeth,True,True,False
75,True,"Teeth,HisT",True,True,False
76,True,Teeth,True,True,True
78,False,"Teeth,HisT",False,True,False
81,True,Jaw,True,False,False
89,True,Jaw,True,False,False
90,False,Teeth,True,True,True
93,True,Teeth,False,True,False
96,False,Teeth,False,True,True
100,False,Patho,False,False,True
102,True,"Teeth,Patho",True,True,False
106,False,"Teeth,Patho",False,True,False
107,False,"Teeth,Patho",False,True,False
113,False,"Teeth,Patho",False,True,False
118,True,HisT,True,False,False
122,False,Teeth,True,True,False
124,True,"Teeth,Patho",True,True,False
132,True,Teeth,False,True,False
134,False,Jaw,False,False,False
135,False,"Teeth,Patho",False,True,False
137,True,"Teeth,HisT",True,True,False
141,True,"Teeth,HisT",True,True,False
142,False,"Teeth,Patho",True,True,False
144,False,"Teeth,HisT",False,True,False
153,True,"Teeth,HisT",False,True,False
154,False,"Teeth,Patho",False,True,False
155,True,"HisT,Jaw",True,False,False
157,True,"Teeth,HisT",True,True,False
159,True,"Teeth,Patho",True,True,False
160,False,Teeth,False,True,True
164,False,Jaw,False,False,False
170,False,Teeth,False,True,False
171,False,"Teeth,HisT",False,True,False
175,False,"Teeth,Patho",False,True,False
179,True,Teeth,True,True,True
186,True,"HisT,Jaw",True,False,False
188,False,"Teeth,HisT",False,True,False
191,True,"Teeth,Patho",False,True,False
194,True,Teeth,True,True,True
196,False,Teeth,True,True,True
198,False,"Teeth,Patho",False,True,False
200,False,Jaw,False,False,False
205,False,"Teeth,HisT",False,True,True
206,True,Teeth,True,True,False
208,True,"Teeth,Patho",True,True,False
210,False,"Teeth,Patho",False,True,False
213,True,"Teeth,HisT",True,True,False
219,True,HisT,True,False,False
220,False,Jaw,False,False,False
221,True,"Teeth,Patho,HisT",True,True,False
224,False,"Teeth,Patho",False,True,False
225,False,"HisT,Jaw",False,False,False
229,True,Jaw,True,False,False
230,True,"Teeth,Patho,HisT,SumRec",True,True,False
232,True,"HisT,Jaw",True,False,False
235,True,Jaw,True,False,False
238,False,Teeth,True,True,False
240,False,"Patho,Jaw",False,False,False
245,True,"Teeth,HisT",True,True,True
246,True,"Teeth,HisT",True,True,True
247,True,Teeth,True,True,True
249,False,"Teeth,Patho",False,True,False
250,False,"Teeth,HisT",False,True,False
252,False,"Teeth,HisT",False,True,False
253,True,"Teeth,HisT",True,True,False
254,False,"Teeth,Patho",False,True,False
255,False,"Teeth,Patho",True,True,False
261,True,"Teeth,HisT",True,True,False
268,True,SumRec,True,False,False
271,True,"Teeth,Patho",False,True,False
272,False,"Teeth,HisT",False,True,True
281,True,"Teeth,Patho",True,True,False
284,True,"Teeth,HisT",True,True,False
289,True,"Teeth,Jaw",True,True,False
293,False,"Teeth,Patho",True,True,False
295,True,"Teeth,HisT",True,True,False
297,True,"Teeth,Patho",False,True,False
298,True,"Teeth,Patho",False,True,False
300,True,"Teeth,Patho",True,True,False
301,True,"Teeth,Patho",True,True,False
302,True,Jaw,True,False,False
303,True,Jaw,True,False,False
308,False,Teeth,False,True,True
310,True,"Teeth,Patho",True,True,False
312,True,Teeth,True,True,False
313,True,"Teeth,Patho",True,True,False
316,True,"Teeth,Patho",True,True,False
319,False,Teeth,False,True,True
320,True,"Patho,SumRec",True,False,False
322,False,Jaw,False,False,False
325,True,"Teeth,Patho",True,True,True
326,False,"Teeth,Patho",False,True,False
330,True,"Teeth,Patho",True,True,False
331,False,Jaw,False,False,False
332,True,Teeth,True,True,False
342,False,Jaw,False,False,False
350,True,"Teeth,HisT",True,True,False
353,False,Teeth,False,True,True
357,False,Teeth,True,True,True
360,True,Jaw,False,False,False
361,True,Teeth,True,True,False
362,False,"Teeth,HisT",False,True,False
363,True,"Teeth,Patho",False,True,False
364,False,SumRec,True,False,False
367,True,Jaw,True,False,False
371,True,"Teeth,Jaw",True,True,False
380,True,Jaw,True,False,False
381,True,Teeth,True,True,True
386,False,Jaw,True,False,False
391,True,"Teeth,Patho",True,True,False
392,True,Jaw,True,False,False
394,True,Teeth,True,True,False
397,True,"Teeth,HisT",True,True,False
399,True,Jaw,True,False,False
403,True,Teeth,True,True,False
405,True,Teeth,True,True,False
407,True,Jaw,True,False,False
411,False,Jaw,False,False,False
412,False,Teeth,False,True,False
413,False,"Teeth,Patho",False,True,False
414,True,"Teeth,HisT",True,True,False
415,True,"Patho,Jaw",True,False,False
417,True,"HisT,Jaw",True,False,False
421,True,Teeth,True,True,False
424,False,"Teeth,HisT",False,True,False
425,False,Jaw,False,False,False
428,True,"Teeth,Patho",False,True,False
432,True,"Teeth,HisT",True,True,False
433,True,"Teeth,HisT",True,True,False
438,True,"Teeth,HisT",True,True,False
442,False,"HisT,Jaw",True,False,False
445,True,Jaw,True,False,False
447,True,Teeth,True,True,True
449,True,"HisT,Jaw",True,False,False
450,False,"Teeth,Patho",False,True,False
453,True,"Teeth,HisT",True,True,False
455,False,"Teeth,HisT",False,True,False
459,False,Jaw,True,False,False
460,True,"Teeth,Patho",True,True,False
462,True,"Teeth,HisT,SumRec",True,True,False
465,True,"Teeth,HisT,SumRec",True,True,False
469,False,"Patho,Jaw",False,False,False
475,True,"Teeth,Jaw",True,True,False
476,False,Teeth,True,True,True
479,True,"Teeth,HisT",True,True,False
481,False,Teeth,True,True,True
483,True,"Teeth,HisT",True,True,False
484,True,Jaw,True,False,False
486,True,Teeth,True,True,False
487,True,"Teeth,Jaw",True,True,False
490,True,"Patho,SumRec",True,False,False
