imgsz,conf,n,exact,within1,mae
768,0.05,86,19.767441860465116,51.16279069767442,1.9069767441860466
768,0.1,86,48.83720930232558,77.90697674418605,0.9534883720930233
768,0.15,86,55.81395348837209,81.3953488372093,0.7558139534883721
768,0.2,86,59.30232558139535,82.55813953488372,0.6627906976744186
768,0.25,86,52.325581395348834,77.90697674418605,0.8953488372093024
768,0.3,86,38.372093023255815,70.93023255813954,1.3255813953488371
768,0.35,86,23.25581395348837,53.48837209302326,1.9069767441860466
768,0.4,86,13.953488372093023,33.72093023255814,2.813953488372093
768,0.45,86,11.627906976744185,23.25581395348837,4.046511627906977
768,0.5,86,3.488372093023256,12.790697674418604,5.6395348837209305
768,0.6,86,1.1627906976744187,4.651162790697675,9.30232558139535
1024,0.05,86,40.69767441860465,67.44186046511628,1.1744186046511629
1024,0.1,86,55.81395348837209,82.55813953488372,0.7325581395348837
1024,0.15,86,63.95348837209303,88.37209302325581,0.5813953488372093
1024,0.2,86,59.30232558139535,88.37209302325581,0.6744186046511628
1024,0.25,86,51.16279069767442,86.04651162790698,0.872093023255814
1024,0.3,86,46.51162790697674,79.06976744186046,1.069767441860465
1024,0.35,86,36.04651162790697,65.11627906976744,1.441860465116279
1024,0.4,86,26.74418604651163,51.16279069767442,2.1627906976744184
1024,0.45,86,17.441860465116278,38.372093023255815,3.0232558139534884
1024,0.5,86,8.13953488372093,23.25581395348837,4.151162790697675
1024,0.6,86,0.0,4.651162790697675,7.4186046511627906
1280,0.05,86,31.3953488372093,60.46511627906977,1.4186046511627908
1280,0.1,86,54.651162790697676,76.74418604651163,0.7558139534883721
1280,0.15,86,61.627906976744185,86.04651162790698,0.627906976744186
1280,0.2,86,66.27906976744185,87.20930232558139,0.5930232558139535
1280,0.25,86,69.76744186046511,84.88372093023256,0.6627906976744186
1280,0.3,86,48.83720930232558,79.06976744186046,1.0232558139534884
1280,0.35,86,33.72093023255814,68.6046511627907,1.5
1280,0.4,86,23.25581395348837,51.16279069767442,2.13953488372093
1280,0.45,86,19.767441860465116,39.53488372093023,2.813953488372093
1280,0.5,86,6.976744186046512,22.093023255813954,3.7674418604651163
1280,0.6,86,0.0,3.488372093023256,6.4186046511627906
1536,0.05,86,16.27906976744186,48.83720930232558,1.9883720930232558
1536,0.1,86,47.674418604651166,77.90697674418605,1.0
1536,0.15,86,54.651162790697676,86.04651162790698,0.8372093023255814
1536,0.2,86,53.48837209302326,83.72093023255815,0.9069767441860465
1536,0.25,86,50.0,80.23255813953489,1.058139534883721
1536,0.3,86,37.2093023255814,69.76744186046511,1.4534883720930232
1536,0.35,86,25.58139534883721,53.48837209302326,2.046511627906977
1536,0.4,86,8.13953488372093,31.3953488372093,2.9302325581395348
1536,0.45,86,5.813953488372093,16.27906976744186,3.953488372093023
1536,0.5,86,2.3255813953488373,8.13953488372093,5.27906976744186
1536,0.6,86,0.0,1.1627906976744187,8.732558139534884
1792,0.05,86,9.30232558139535,31.3953488372093,2.8488372093023258
1792,0.1,86,29.069767441860463,60.46511627906977,1.5348837209302326
1792,0.15,86,36.04651162790697,75.5813953488372,1.2790697674418605
1792,0.2,86,31.3953488372093,75.5813953488372,1.4186046511627908
1792,0.25,86,18.6046511627907,52.325581395348834,2.0813953488372094
1792,0.3,86,13.953488372093023,27.906976744186046,3.313953488372093
1792,0.35,86,8.13953488372093,17.441860465116278,4.465116279069767
1792,0.4,86,5.813953488372093,8.13953488372093,5.988372093023256
1792,0.45,86,2.3255813953488373,4.651162790697675,7.744186046511628
1792,0.5,86,0.0,0.0,9.779069767441861
1792,0.6,86,0.0,0.0,14.069767441860465
2048,0.05,86,2.3255813953488373,8.13953488372093,4.488372093023256
2048,0.1,86,19.767441860465116,52.325581395348834,2.058139534883721
2048,0.15,86,18.6046511627907,45.348837209302324,2.63953488372093
2048,0.2,86,9.30232558139535,31.3953488372093,4.069767441860465
2048,0.25,86,8.13953488372093,15.116279069767442,5.976744186046512
2048,0.3,86,1.1627906976744187,1.1627906976744187,8.337209302325581
2048,0.35,86,0.0,0.0,10.465116279069768
2048,0.4,86,0.0,0.0,12.604651162790697
2048,0.45,86,0.0,0.0,14.837209302325581
2048,0.5,86,0.0,0.0,17.023255813953487
2048,0.6,86,0.0,0.0,21.13953488372093
