run,n,base,routed,lift,n_routed,model_on_routed,det_on_routed,api_calls_saved
gpt-4o-2024-11-20__faithful-direct-k0__shuffled__n491,484,40.289256198347104,43.595041322314046,3.3057851239669422,41,36.58536585365854,75.60975609756098,41
gpt-4o-2024-11-20__faithful-direct-k0__whole__n491,484,42.97520661157025,46.48760330578512,3.5123966942148757,41,34.146341463414636,75.60975609756098,41
gemini-2.5-flash__coax-direct-k0__shuffled__n491,484,43.18181818181818,46.69421487603306,3.5123966942148757,41,34.146341463414636,75.60975609756098,41
gemini-2.5-flash__coax-direct-k0__whole__n491,484,44.00826446280991,48.14049586776859,4.132231404958681,41,26.82926829268293,75.60975609756098,41
gpt-4o-2024-11-20__coax-direct-k0__shuffled__n491,484,48.760330578512395,51.03305785123967,2.272727272727276,41,48.78048780487805,75.60975609756098,41
gpt-4o-2024-11-20__coax-direct-k0__whole__n491,484,54.132231404958674,54.75206611570248,0.6198347107438051,41,68.29268292682927,75.60975609756098,41
gemini-3.5-flash__coax-direct-noctx-px768__shuffled__n491,484,57.438016528925615,60.74380165289256,3.3057851239669422,41,36.58536585365854,75.60975609756098,41
gemini-3.5-flash__coax-direct-k0__shuffled__n491,484,58.057851239669425,60.33057851239669,2.2727272727272707,41,48.78048780487805,75.60975609756098,41
gemini-3.5-flash__coax-direct-k0__whole__n491,484,59.917355371900825,63.01652892561983,3.0991735537190035,41,39.02439024390244,75.60975609756098,41
gemini-3.5-flash__coax-direct-ctx-opgprimer__shuffled__n491,484,60.33057851239669,63.42975206611571,3.0991735537190146,41,39.02439024390244,75.60975609756098,41
gemini-3.5-flash__coax-direct-ctx-opgprimer__whole__n491,484,62.603305785123965,64.6694214876033,2.066115702479343,41,51.21951219512195,75.60975609756098,41
gemini-3.5-flash__coax-direct-primerv1+visualex-v2__shuffled__n491,484,62.8099173553719,65.9090909090909,3.0991735537190035,41,39.02439024390244,75.60975609756098,41
