index,score
47,0.3
48,0.0
49,0.0
50,0.3
51,0.0
52,0.3
59,0.0
60,0.0
61,0.6
62,0.7
63,0.6
64,0.2
29,0.6
30,0.6
31,0.6
32,0.6
33,0.6
34,0.6
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.3
89,0.0
90,0.1
91,0.6
92,0.6
93,0.7
94,0.0
95,0.0
96,0.9
97,0.0
98,0.0
99,0.3
100,0.3
101,0.0
102,0.9
103,0.0
104,0.3
0,0.0
1,0.3
2,0.6
3,0.0
4,0.3
5,0.3
138,0.6
139,0.6
140,0.0
141,0.2
142,0.0
143,0.2
120,0.0
121,0.2
122,0.7
123,0.0
124,0.0
125,0.3
150,0.0
151,0.9
152,0.0
153,0.0
154,0.0
155,0.6
179,0.0
180,0.0
181,0.0
182,0.7
183,0.6
184,0.2
190,0.7
191,0.0
192,0.3
193,0.0
194,0.6
109,0.0
110,0.8
111,0.6
112,1.0
113,0.3
201,0.6
202,0.3
203,0.3
204,0.3
205,0.0
206,0.3
218,0.9
219,0.0
220,0.7
221,0.6
222,0.9
223,0.7
156,0.2
157,0.0
158,0.0
159,0.7
160,0.6
161,0.3
240,0.6
241,0.9
242,0.5
243,0.3
244,0.7
245,0.7
312,0.9
313,0.7
314,0.5
315,0.6
316,0.0
317,0.3
282,0.0
283,0.5
284,0.6
285,0.4
286,0.6
287,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.2
288,0.6
289,0.0
290,0.2
291,0.0
292,0.0
293,0.3
300,0.3
301,0.0
302,0.9
303,0.0
304,0.6
305,0.0
228,0.0
229,0.9
230,0.6
231,0.0
232,0.6
233,0.6
324,0.6
325,1.0
326,0.4
327,0.0
328,0.7
329,0.6
336,0.0
337,0.9
338,0.9
339,0.6
340,0.9
341,0.6
348,0.0
349,0.0
350,0.6
351,1.0
352,0.0
353,0.6
414,0.4
415,0.9
416,0.0
417,0.5
418,0.9
419,0.6
342,0.3
343,0.6
344,0.0
345,0.6
346,0.0
347,0.2
384,0.2
385,0.3
386,1.0
387,0.6
388,0.0
389,0.3
408,0.6
409,0.9
410,0.0
411,0.6
412,0.3
413,0.6
442,0.0
443,0.6
444,0.3
445,0.6
446,0.0
447,0.4
448,0.0
449,0.0
450,0.3
451,1.0
452,0.0
453,0.3
454,0.6
455,0.3
456,0.6
457,0.0
458,0.0
459,0.4
466,0.6
467,0.1
468,0.9
469,0.0
470,0.3
520,1.0
521,0.0
522,0.9
523,0.0
524,0.6
531,0.0
532,0.0
533,0.0
534,0.7
535,0.0
536,0.0
543,0.3
544,0.0
545,0.2
546,0.0
547,0.3
548,0.0
549,0.3
550,0.3
551,0.3
552,0.0
553,0.0
554,0.3
