index,score
4,0.0
5,0.7
7,0.0
3,0.0
0,1.0
2,0.7
1,0.3
6,0.3
8,0.7
11,0.4
9,0.2
12,0.3
14,0.0
10,0.6
13,0.7
15,0.0
16,0.6
22,0.2
20,0.7
19,0.0
17,0.0
21,0.0
23,0.0
18,0.0
24,0.2
27,0.6
25,0.3
29,0.9
30,0.7
28,0.7
26,0.3
32,0.6
33,0.0
31,0.6
35,0.2
37,0.7
36,0.4
34,0.7
38,0.9
39,0.3
40,0.6
41,0.6
42,0.3
44,0.0
46,0.7
51,0.3
48,0.0
50,0.6
54,0.3
43,0.9
49,0.6
56,0.2
52,0.3
57,0.2
59,0.6
60,0.0
61,0.6
55,0.6
53,0.7
66,0.2
62,0.6
47,0.6
68,0.0
69,0.6
67,0.6
65,0.4
71,0.0
73,0.3
72,0.6
45,0.2
74,0.2
63,0.0
64,0.3
79,0.0
81,0.2
77,0.3
80,0.9
78,0.3
83,0.0
84,0.6
85,0.7
87,0.0
86,0.2
89,0.6
90,0.0
92,0.7
91,0.6
93,0.7
95,0.3
96,0.7
97,0.0
98,0.0
99,0.6
88,0.9
94,0.6
76,0.3
75,0.0
102,0.0
103,0.6
106,0.7
105,0.7
100,0.3
109,0.0
101,0.3
110,0.0
112,0.2
82,0.9
114,0.0
107,0.5
115,0.0
111,0.6
116,0.6
118,0.9
117,0.2
121,0.7
120,0.2
122,0.7
123,0.6
124,0.3
113,0.3
126,0.6
128,0.0
127,0.0
129,0.2
108,0.6
119,0.7
132,0.9
125,0.6
134,0.0
135,0.4
133,0.3
136,0.2
139,0.6
140,0.9
138,0.4
142,0.3
141,0.0
144,0.9
104,0.3
145,0.9
146,0.9
148,0.2
147,0.7
150,0.0
151,0.6
152,0.0
153,0.3
154,0.0
143,0.6
70,0.4
130,0.2
58,0.7
137,0.6
131,0.6
149,0.7
155,0.6
157,0.6
156,0.6
158,0.9
160,0.6
159,0.6
161,0.7
162,0.0
163,0.6
164,0.6
165,0.0
167,0.3
168,0.2
169,0.7
166,0.6
170,0.0
171,0.6
173,0.7
174,0.0
172,0.0
175,0.7
176,0.6
177,0.3
179,0.0
180,0.6
178,0.6
181,0.3
182,0.6
183,0.2
186,0.2
185,0.3
187,0.9
188,0.3
190,0.0
191,0.9
192,0.3
193,0.3
194,0.3
184,0.3
196,0.0
195,0.3
198,0.0
199,0.0
197,0.6
201,0.9
200,0.6
189,0.6
203,0.2
204,0.2
202,0.6
207,0.6
208,0.3
205,0.2
209,0.6
211,0.7
210,0.6
213,0.6
214,0.9
215,0.6
216,0.6
212,0.7
218,0.6
219,0.0
217,0.7
220,0.2
221,0.6
222,0.7
224,0.3
225,0.8
226,0.6
227,0.6
223,0.7
206,0.6
230,0.0
229,0.0
231,0.0
232,0.6
228,0.6
235,0.7
234,0.6
237,0.0
236,0.3
238,0.0
240,0.6
241,0.0
242,0.6
243,0.6
244,0.6
239,0.6
246,0.7
247,0.6
248,0.6
249,0.9
250,0.6
251,0.9
252,0.6
253,0.2
254,0.3
255,0.3
256,0.3
257,0.6
233,0.6
258,0.0
245,0.9
259,0.6
262,0.2
260,0.9
261,0.3
264,0.0
266,0.9
267,0.7
268,0.2
265,0.9
270,0.0
271,0.0
269,0.6
273,0.9
274,0.6
272,0.6
276,0.3
277,0.0
278,0.6
279,0.2
280,0.7
281,0.6
275,0.7
282,0.2
283,0.6
284,0.6
286,0.0
285,0.6
288,0.7
289,0.9
290,0.6
291,0.9
292,0.0
293,0.6
287,0.3
294,0.0
295,0.6
296,0.6
298,0.6
297,0.6
300,0.0
301,0.3
302,0.6
303,0.0
304,0.6
305,0.6
263,0.7
306,0.6
308,0.0
309,0.6
307,0.2
310,0.0
312,0.6
313,0.6
314,0.0
315,0.6
311,0.3
316,0.3
318,0.7
319,0.7
320,0.6
321,0.0
322,0.6
299,0.6
323,0.3
325,0.0
324,0.0
326,0.2
327,0.7
328,0.0
330,0.2
331,0.0
332,0.6
333,0.2
334,0.0
335,0.7
317,0.6
337,0.9
338,0.0
339,0.0
336,0.7
340,0.2
329,0.6
341,0.7
343,0.2
344,0.6
345,0.7
342,0.9
348,0.3
346,0.7
349,0.2
350,0.2
351,0.7
352,0.0
354,0.9
355,0.0
356,0.6
357,0.6
358,0.6
353,0.7
359,0.9
361,0.9
362,0.9
360,0.3
363,0.2
364,0.0
365,0.6
366,0.6
367,0.9
368,0.6
369,0.9
370,0.3
372,0.6
373,0.0
374,0.7
375,0.3
371,0.7
