index,score
95,0.3
96,0.6
97,0.0
98,0.0
99,0.3
41,0.0
42,0.0
43,0.6
44,0.0
45,0.0
46,0.6
0,0.3
1,0.0
2,0.3
3,0.0
4,0.6
5,0.6
59,0.7
60,0.9
61,0.6
62,0.7
63,0.6
64,0.6
47,0.6
48,0.2
49,0.0
50,0.3
51,0.6
52,0.3
100,0.6
101,0.3
102,0.0
103,0.7
104,0.3
29,0.9
30,0.3
31,0.2
32,0.6
33,0.6
34,0.6
89,0.3
90,0.0
91,0.6
92,0.5
93,0.7
94,0.3
109,0.0
110,0.0
111,0.6
112,0.0
113,0.3
138,0.6
139,0.6
140,0.9
141,0.0
142,0.6
143,0.6
190,0.7
191,0.3
192,0.2
193,0.6
194,0.3
150,0.0
151,0.3
152,0.0
153,0.0
154,0.6
155,0.3
179,0.2
180,0.0
181,0.0
182,0.4
183,0.6
184,0.2
120,0.0
121,0.3
122,0.7
123,0.3
124,0.3
125,0.6
201,0.9
202,0.5
203,0.3
204,0.0
205,0.0
206,0.6
156,0.6
157,0.6
158,0.9
159,0.7
160,0.7
161,0.7
218,0.9
219,0.0
220,0.0
221,0.6
222,0.0
223,0.6
240,0.6
241,0.0
242,0.0
243,0.7
244,0.7
245,0.6
228,0.9
229,0.2
230,0.3
231,0.0
232,0.6
233,0.6
294,0.3
295,0.0
296,0.0
297,0.0
298,0.6
299,0.3
312,0.6
313,0.7
314,0.0
315,0.4
316,0.0
317,0.6
300,0.0
301,0.3
302,0.5
303,0.2
304,0.3
305,0.3
282,0.6
283,0.0
284,0.7
285,0.6
286,0.0
287,0.3
288,0.7
289,0.7
290,0.6
291,0.5
292,0.0
293,0.6
336,0.0
337,1.0
338,0.9
339,0.0
340,0.6
341,0.6
324,0.0
325,0.0
326,0.4
327,0.6
328,0.0
329,0.6
348,0.3
349,0.0
350,0.2
351,0.5
352,0.0
353,0.6
342,0.9
343,0.6
344,0.0
345,0.6
346,0.0
347,0.4
414,0.3
415,0.7
416,0.0
417,0.0
418,0.9
419,0.6
384,0.9
385,0.2
386,1.0
387,0.3
388,0.0
389,0.6
408,0.6
409,0.3
410,0.2
411,0.3
412,0.6
413,0.6
520,0.0
521,0.0
522,0.0
523,0.0
524,0.3
442,0.0
443,0.0
444,0.9
445,0.3
446,0.6
447,0.6
466,0.2
467,0.0
468,0.9
469,0.0
470,0.3
454,0.6
455,0.9
456,0.0
457,0.7
458,0.6
459,0.7
448,0.7
449,0.0
450,0.0
451,0.9
452,0.0
453,0.6
531,0.0
532,0.0
533,0.5
534,0.9
535,0.0
536,0.3
549,0.2
550,0.2
551,0.3
552,0.7
553,0.0
554,0.3
543,0.3
544,0.0
545,0.0
546,0.6
547,0.9
548,0.3
