image,idx,dtype,base,B
016640.jpg,0,count,1.0,1.0
016640.jpg,1,whichtooth,0.3,0.0
016640.jpg,3,whichtooth,0.0,0.0
016640.jpg,4,cond#N,0.9,0.6
016642.jpg,14,cond#N,0.0,0.3
016648.jpg,17,count,0.0,0.9
016649.jpg,25,count,0.0,0.3
016650.jpg,29,count,0.3,0.6
016650.jpg,30,cond#N,0.3,0.3
016650.jpg,31,whichtooth,0.4,0.6
016652.jpg,35,cond#N,0.6,0.6
016652.jpg,37,cond#N,0.6,0.3
016655.jpg,41,count,0.9,1.0
016655.jpg,42,cond#N,0.0,0.0
016655.jpg,44,whichtooth,0.0,0.0
016655.jpg,45,cond#N,0.3,0.3
016657.jpg,48,whichtooth,0.2,0.2
016659.jpg,53,cond#N,0.7,0.7
016690.jpg,59,whichtooth,0.0,0.7
016690.jpg,61,count,0.4,0.9
016693.jpg,67,count,0.9,0.9
016693.jpg,68,cond#N,0.7,0.7
016694.jpg,72,cond#N,1.0,1.0
016708.jpg,79,cond#N,0.9,0.9
016708.jpg,80,cond#N,0.9,0.9
016708.jpg,81,missing,0.0,0.0
016712.jpg,85,cond#N,0.6,0.0
016713.jpg,90,whichtooth,0.0,0.0
016713.jpg,92,whichtooth,1.0,1.0
016726.jpg,100,count,0.9,0.7
016726.jpg,101,whichtooth,0.3,0.0
016744.jpg,106,count,0.2,0.2
016769.jpg,109,count,0.7,0.0
016769.jpg,112,whichtooth,0.0,0.0
016783.jpg,114,count,0.3,0.0
016783.jpg,115,count,0.7,0.7
016790.jpg,120,whichtooth,0.0,0.0
016792.jpg,128,cond#N,0.3,0.3
016807.jpg,132,cond#N,0.9,0.9
016821.jpg,144,count,0.0,0.9
016821.jpg,145,missing,0.3,0.7
016821.jpg,146,cond#N,0.7,0.7
016823.jpg,150,whichtooth,0.0,0.0
016823.jpg,151,count,0.7,0.7
016823.jpg,152,whichtooth,0.0,0.0
016825.jpg,156,cond#N,0.6,0.6
016825.jpg,158,whichtooth,0.9,0.9
016826.jpg,164,count,0.0,1.0
016829.jpg,169,cond#N,0.9,0.9
016829.jpg,170,cond#N,0.9,0.9
016836.jpg,174,cond#N,0.6,0.0
016839.jpg,182,whichtooth,0.6,0.3
016855.jpg,185,cond#N,0.6,0.6
016874.jpg,190,cond#N,0.9,0.6
016874.jpg,191,count,0.3,0.2
016874.jpg,192,whichtooth,0.3,0.6
016910.jpg,196,cond#N,0.6,0.0
016910.jpg,197,cond#N,0.9,0.7
016918.jpg,201,count,0.6,0.6
016918.jpg,202,whichtooth,1.0,0.7
016918.jpg,204,cond#N,0.0,0.9
016920.jpg,207,cond#N,1.0,1.0
016920.jpg,208,count,0.3,0.5
016947.jpg,215,cond#N,0.7,0.7
016955.jpg,222,whichtooth,0.9,0.9
016961.jpg,225,cond#N,0.2,0.9
016964.jpg,228,cond#N,0.7,0.7
016964.jpg,231,whichtooth,0.3,0.6
016973.jpg,234,cond#N,0.6,0.6
016973.jpg,236,cond#N,0.9,0.9
016975.jpg,242,whichtooth,0.6,0.3
017061.jpg,259,cond#N,0.9,0.9
017083.jpg,265,cond#N,0.9,0.0
017091.jpg,270,cond#N,0.2,0.6
017091.jpg,271,cond#N,0.6,0.0
017091.jpg,272,cond#N,0.9,0.9
017112.jpg,277,cond#N,0.6,0.3
017112.jpg,279,cond#N,0.9,0.9
017113.jpg,283,whichtooth,0.9,0.9
017113.jpg,286,cond#N,0.6,0.0
017118.jpg,291,whichtooth,0.0,0.5
017137.jpg,294,whichtooth,0.5,0.0
017137.jpg,295,cond#N,0.3,0.3
017144.jpg,302,whichtooth,0.6,0.0
017148.jpg,306,count,0.3,0.6
017168.jpg,314,whichtooth,0.3,0.6
017202.jpg,320,count,0.6,0.6
017202.jpg,322,cond#N,0.7,0.7
017204.jpg,325,whichtooth,1.0,1.0
017204.jpg,327,cond#N,0.9,0.9
017209.jpg,330,cond#N,0.7,0.6
017215.jpg,336,count,1.0,1.0
017215.jpg,337,whichtooth,0.9,1.0
017220.jpg,342,cond#N,0.9,1.0
017220.jpg,344,whichtooth,0.0,0.0
017220.jpg,346,cond#N,0.0,0.9
017239.jpg,349,whichtooth,0.0,0.0
017239.jpg,351,cond#N,0.9,0.9
017300.jpg,361,cond#N,0.9,0.9
017300.jpg,363,count,0.2,0.6
017336.jpg,372,missing,1.0,1.0
017336.jpg,374,cond#N,0.9,0.9
017346.jpg,381,count,0.0,0.0
017360.jpg,384,whichtooth,0.9,0.9
017360.jpg,385,whichtooth,0.2,0.3
017375.jpg,391,cond#N,0.6,0.6
017656.jpg,411,cond#N,0.6,0.6
017690.jpg,414,whichtooth,0.5,0.3
017690.jpg,417,whichtooth,0.0,0.0
017693.jpg,421,count,0.2,0.6
017773.jpg,426,cond#N,0.7,0.6
017840.jpg,432,count,0.0,1.0
017840.jpg,433,cond#N,0.9,0.3
017840.jpg,435,cond#N,0.3,0.3
017880.jpg,438,cond#N,0.0,0.6
017936.jpg,443,whichtooth,0.6,0.2
018010.jpg,449,whichtooth,0.6,0.7
018047.jpg,455,cond#N,0.0,0.2
018047.jpg,457,whichtooth,0.0,0.0
018105.jpg,461,cond#N,0.3,0.3
018105.jpg,463,whichtooth,0.7,0.7
018160.jpg,466,whichtooth,0.6,0.5
018160.jpg,467,whichtooth,0.0,0.0
018174.jpg,471,cond#N,0.7,0.9
018179.jpg,479,cond#N,0.3,0.0
018189.jpg,484,count,0.2,0.3
018211.jpg,490,cond#N,0.9,0.9
018231.jpg,494,cond#N,0.9,0.6
018254.jpg,497,count,0.6,0.6
018254.jpg,498,cond#N,0.9,0.7
018278.jpg,522,whichtooth,0.8,0.9
018325.jpg,525,cond#N,0.9,0.9
018328.jpg,531,whichtooth,0.6,0.7
018328.jpg,533,count,0.7,0.3
018328.jpg,534,whichtooth,0.9,1.0
018328.jpg,535,whichtooth,0.5,0.6
018377.jpg,537,count,0.7,0.6
018377.jpg,538,cond#N,0.7,0.7
018384.jpg,544,whichtooth,0.3,0.3
018466.jpg,549,count,0.0,0.6
018466.jpg,550,whichtooth,0.9,0.9
018466.jpg,552,cond#N,0.7,0.6
018477.jpg,559,whichtooth,0.0,0.0
018494.jpg,562,cond#N,0.3,0.3
018494.jpg,564,cond#N,0.7,0.6
018539.jpg,569,cond#N,0.9,0.9
019277.jpg,575,cond#N,0.0,0.0
019277.jpg,576,cond#N,0.9,1.0
