image,index,group,base,B
016640.jpg,2,tooth,0.7,0.9
016641.jpg,6,tooth,0.9,0.9
016641.jpg,7,tooth,0.0,0.0
016641.jpg,8,tooth,0.9,0.9
016641.jpg,9,nontooth,0.6,0.7
016642.jpg,12,tooth,0.3,0.4
016642.jpg,15,tooth,0.3,0.6
016648.jpg,19,tooth,0.3,0.3
016648.jpg,21,tooth,0.0,0.0
016649.jpg,26,nontooth,0.2,0.3
016649.jpg,27,tooth,0.0,0.9
016650.jpg,33,nontooth,0.7,0.7
016652.jpg,38,tooth,0.0,0.3
016652.jpg,39,tooth,0.7,0.6
016657.jpg,51,tooth,0.6,0.0
016659.jpg,57,nontooth,0.0,0.0
016690.jpg,63,nontooth,0.6,0.6
016693.jpg,66,tooth,0.6,0.3
016693.jpg,69,tooth,0.6,0.9
016694.jpg,75,nontooth,0.6,0.3
016712.jpg,83,tooth,0.0,0.0
016712.jpg,84,tooth,0.0,0.6
016712.jpg,87,nontooth,1.0,0.9
016713.jpg,93,nontooth,0.7,0.7
016723.jpg,95,tooth,0.7,0.2
016723.jpg,97,tooth,0.7,0.7
016723.jpg,98,nontooth,0.6,0.6
016726.jpg,103,tooth,0.0,0.7
016783.jpg,117,tooth,0.7,0.6
016783.jpg,118,tooth,0.9,0.7
016790.jpg,121,tooth,0.3,0.2
016792.jpg,127,tooth,0.2,0.0
016792.jpg,129,tooth,0.2,0.0
016792.jpg,130,tooth,1.0,0.6
016807.jpg,136,tooth,1.0,0.9
016808.jpg,140,tooth,0.6,0.2
016808.jpg,142,tooth,0.0,0.3
016821.jpg,148,nontooth,0.0,0.0
016823.jpg,154,tooth,0.0,0.0
016825.jpg,160,nontooth,0.7,0.6
016826.jpg,163,nontooth,0.3,0.3
016826.jpg,166,nontooth,0.7,0.6
016829.jpg,172,tooth,0.3,0.6
016836.jpg,175,tooth,0.9,0.9
016836.jpg,177,tooth,0.6,0.6
016839.jpg,183,tooth,0.7,0.6
016855.jpg,188,tooth,0.7,0.7
016874.jpg,193,tooth,0.0,0.0
